feature,mean_auc_drop,std_auc_drop
temp_abs_deviation,0.05852,0.01946
calibration_days_since,0.04764,0.01727
rework_count,0.04687,0.01453
machine_downtime_min,0.03063,0.0183
incoming_inspection_score,0.01585,0.00999
pressure_abs_deviation,0.01434,0.0128
batch_size,0.01261,0.00583
shift_Night,0.01183,0.00432
supplier_tier_Tier_2,0.00722,0.00542
material_age_days,0.00658,0.00958
line_id_Line_C,0.00602,0.00424
calibration_overdue_flag,0.00523,0.0014
line_id_Line_B,0.00499,0.00257
supplier_tier_Tier_3,0.0048,0.00191
operator_experience_months,0.00389,0.00265
high_rework_flag,0.00166,0.00333
large_batch_flag,-0.00096,0.00494
process_temperature_c,-0.00248,0.00354
ambient_humidity_pct,-0.00446,0.00359
process_pressure_psi,-0.00465,0.00305
